geoid,temp,confound,no_unobs,counfound_dp
0,26.394689778652456,0.16084018472962702,26.253919208285144,0.13464747966935994
37063000101,26.015177419964864,-0.8991601828472462,26.914337602446444,-0.44168308182032806
37063000102,26.032398104759096,-1.0588845918120549,27.091282700385015,-0.3361929720655356
37063000200,26.700919294539663,-0.41157677869922077,27.112496069644404,-0.2714718121977552
37063000301,26.968266665412603,-0.5355710673721819,27.50383772850626,-0.11460829271608174
37063000302,27.035483536417942,-0.09717922505914678,27.132662766702733,-0.12231764511493884
37063000401,26.61170199942121,-0.4574270231262593,27.06912901803847,0.01345380336773244
37063000402,27.47406354337519,-0.24363893525948443,27.717702481444892,0.06614366144306637
37063000500,27.365810916446833,0.0471756031269126,27.31863531012466,0.16875353781562658
37063000600,27.148104029959903,0.6460579498305976,26.5020460801586,0.43930416415336965
37063000700,27.589036324332845,0.5901039106142686,26.99893241197193,0.26563684913109775
37063000900,27.53677189901398,0.0862224571352384,27.450549443239293,-0.1712366158069109
37063001001,27.33503092057767,-0.1621725471303931,27.497203468837018,-0.09805482626990171
37063001002,27.214455031158284,-0.06543404039778952,27.2798890735881,-0.2709554061434549
37063001100,28.24673975707273,0.2729017243733318,27.973838030312,-0.03163073370962475
37063001301,27.559119725400077,0.08033210990273794,27.478787625867096,0.15712606130618018
37063001303,28.039129714962552,0.42389158613622485,27.61523811910919,0.2517178189432285
37063001304,27.76043832418353,0.8641338937485373,26.89630443857346,0.3940640253701912
37063001400,27.614146803942266,0.09687064597530048,27.51727615969341,0.07314049562770693
37063001501,27.447510383876878,0.018428549048743442,27.42908183353304,0.3070236038111214
37063001503,28.018377219484837,0.5088622181408347,27.509515001830344,0.02474497862606363
37063001504,27.75661716462072,0.3490094790871422,27.407607687491748,0.3442869784158913
37063001505,27.98381157889584,-0.0034665182674271772,27.987278097360335,0.19195288063877394
37063001601,25.51926352874821,-0.7385677884442094,26.257831320630828,-1.0946541859662344
37063001603,25.49441856266607,-0.4412732021966433,25.935691762764748,-0.6254535186067688
37063001604,25.872480507192105,-0.1326859818208701,26.005166489697107,-0.19907652720012287
37063001705,26.26703419408676,-0.6725390823286721,26.939573278327693,-0.17215264982762488
37063001706,26.963353522932834,0.4243783607072629,26.538975160940478,0.37447290049687
37063001708,25.836148376804093,-0.6163907798831245,26.452539158481766,-0.8780259210507828
37063001709,26.04162919339557,-0.6337800902908379,26.67540928517271,-0.6882078784479075
37063001710,26.19289630819291,-0.4832166321113023,26.676112943186467,-0.5428557473629492
37063001711,26.42617795741762,-0.3463570486556907,26.77253500476264,-0.40303801431878516
37063001712,26.206524864909866,-0.1173545443623683,26.32387941472526,-0.14867220538374998
37063001713,27.043609573408652,0.21604110302948687,26.82756846940215,0.19222599147610253
37063001801,25.510778963679055,-0.6295357584400962,26.143038070943685,-1.1224842102703196
37063001802,26.232131430795185,-0.5585888278967888,26.790720258818396,-0.35674596888425963
37063001806,25.388034982570442,-0.6478399948374212,26.045457683863823,-1.0044524272157085
37063001808,26.298960044470146,-0.19547863194878642,26.496302442991368,-0.3911714159963685
37063001809,26.95662674197905,0.04887578163372933,26.90775096113413,0.035442181581312626
37063001810,26.196156650072915,-0.29714191223117103,26.493298565641876,-0.36237287714596056
37063001811,26.198927510046936,-0.5515257651055969,26.750453278230243,-0.677544483991664
37063001900,26.34706700966129,-0.09870876017943929,26.485647786694642,-0.33501936782830266
37063002007,27.514442358788394,0.8664757654048968,26.647966592835697,0.8288717628705555
37063002008,27.292477062561044,0.6270157029530453,26.665461358035916,1.056698050694668
37063002009,27.2846896276185,0.4262145001918367,26.85847512814962,0.34981180468541617
37063002015,28.267263504172824,0.861419152834668,27.40584435724274,0.715347217816588
37063002019,28.105203032460246,1.1625062684746055,26.958792433509835,1.4820767877985548
37063002021,27.608095409986927,1.071681832419777,26.561904497444004,1.348123566164927
37063002022,28.185533215721723,0.9057663495421694,27.282997584916394,1.007574588891911
37063002023,27.877248260444535,0.9747691279654653,26.908845590547944,1.1877879641232563
37063002024,27.978901516955425,0.9233411235330058,27.05556039822657,0.9540502557403024
37063002025,27.91548798076241,0.9894909368553034,26.925997042269255,0.7455506817519418
37063002026,28.01041650543002,0.9676713001625922,27.042745202610924,0.5068024732886716
37063002029,27.602640486381603,1.0241780502633022,26.578462435099652,1.0235288950927244
37063002030,26.712095737788687,0.6508415775556113,26.061254159872405,0.7094062599136515
37063002031,28.459611350670848,0.8508702150943499,27.608741140837715,0.934789406384371
37063002032,27.90812227371435,0.8446304205083012,27.06349184676975,1.0353568162599802
37063002033,27.867565597404045,1.2109830698394202,26.660017680807083,1.5664692350072762
37063002034,27.468430954759842,1.0083910676027334,26.46003988840019,1.3218837191472244
37063002035,27.474903713490253,0.4722980666676487,27.005368378742528,0.4444097933564822
37063002038,27.495990669821012,0.2749469059742671,27.219141842108126,0.18036991395661645
37063002100,25.366160543807407,-0.8685633534945014,26.234723898962116,-1.3073566570300212
37063002200,28.22629742036004,0.2362146001237914,27.990082826692994,-0.023936245410551765
37063002300,28.230115220036122,0.33608052857667986,27.8940346876521,0.10068519204904743
37063980100,27.39432665550136,0.5586150793148117,26.838569409027883,0.4353351420308006
